Line,Movie
"(Hopper drops Dot and snaps his fingers; Suddenly, Thumper attacks Flik, beating him senselessly, making the ants, Circus Bugs, and even some of the grasshoppers cringe; Hopper snaps his fingers again to stop the beating, leaving a weak, injured and but sadly groaning Flik on the ground.)",A Bug's Life
(The ants and circus bugs join arms ready to attack),A Bug's Life
Exactly! Bigger bugs! We could find bigger bugs to come here and fight... and forever rid us of Hopper and his gang!,A Bug's Life
"- Not so tough now, are you? All right, clown. Get up and fight like a girl.",A Bug's Life
"- Whoa, you're vicious! Hold on, Mr. Ant. Amazing! This is too good to be true! [ Laughs ] Ooh! So, you see, it was my fault that Hopper's coming back. But then, Princess Atta-- boy, is she one in a million-- she let me go out and find you. And after seeing you fight off those flies-- Boy, are those grasshoppers in for a surprise! [ Laughing ] [ Laughing ] [ Chattering In Foreign Language ] [ Grunts ] [ Moans ]",A Bug's Life
"Flik: Hey, everybody! Hey! I'm back! Hey, guys! Hey-ey! Look-look-look who's here with me! Flik! Flik! Flik! You're back! I knew you could do it! - Flik? - It's Flik! [ Chattering ] - Flik has returned! - He's back? And he's accompanied by savage insects! What? How? He wasn't supposed to actually find someone! Oh, look at this. This is great. Look. - Oh, my ticker! - So, what are you supposed to be? He's a stick, stupid. You hit bugs with him. - Well, that's an oversimplification. - That's right, kids. Like this! - No! Put me down! - Ow! - Hey! - My, you just pop right open there, dontcha? - Ooh! Wow! - Uh-oh. Kids, He's kinda ticklish. - [ Laughing ] - Let's come on out. Careful. [ Laughs ] Well, my boy, you came through. - Aphie and I are very impressed. - [ Aphie Barks ] Princess Atta! Hey, guys, Princess Atta! She's the one that sent me to find you! - Did you see that really big bug over there? - He looks absolutely ferocious! - They're our ticket out of this mess! - They came just in time! So, Princess Atta, what do you think? No-no-no, wait! This was not supposed to happen. Mayday, Mayday. We're losin' the job. We don't fight grasshoppers. - We don't, but they will. - Bingo! We gotta sweeten the deal. Your Majesty, ladies and gentlemen, boys and girls of all ages, our troupe here guarantees a performance like no other! Why, when your grasshopper friends get here, we are gonna... knock them dead! [ Cheering ] Boy, these folks are sure hard up for entertainment. Come on, come on. Hurry! [ Panting ] Wow! [ Lively Dance Beat ]",A Bug's Life
"[ Music Ends ] And to make our official welcome complete-- Mr. Soil? - Yes, Your Highness? - He's our resident thespian. Last year he played the lead in Picnic. [ Laughs ] The children-- and myself-- have quickly put together... a little presentation in honor of our guests. Dot, Reed, Daisy, Grub? Oh, aren't they adorable! Ooh, they're cute! The South Tunnel Elementary School second grade class... would like to present you with this, a mural we have drawn... of you bugs helping us fight the grasshoppers away. Oh, look at the beautiful colors of the blood. We drew one of you dying because our teacher said it would be more dramatic. - [ Gasps ] -[ Ants Applauding ] - [ Playing Harp ] - I tell you a tale of heroes so bold, who vanquished our grasshopper enemies of old. Look, the last leaf has fallen. [ Together] We are the grasshoppers! Where's our food? Who will come to save us poor ants? We are the warriors, here to defend you! I die! Die! Die! [ Cheering ] - [ Chattering ] - Thank you, thank you! Oh, thank you! - Hey, hey, hey! - I say we go. - Okay, honey. You're up. - Oh. Um-- - Oh, oh, I-I-- - We're all very grateful to have... - Here, here. - [ Amplified ] the warriors-- Thanks. [ Clears Throat ] - I'd like to thank the warriors for helping us in our fight... - [ Arguing ] against the grasshoppers. Secondly, I would like to thank Flik... - for his forthright thinking-- - Thank you, Your Highness. Oh, sure, I'd like to take credit for all of this, but that wouldn't be right. Because it was you, Princess Atta. You believed in me-- - Tell that ant that we need to talk to him right now. - Okay, okay. I know I've made mistakes in the past, and I hope that this will make up-- - Flik! - Not right now, Rosie. I'm making a speech. [ Grumbles, Whispers ] Now, I truly believe these bugs are the answer to our-- No, there's no circus around here. So, I-- [ Gasps ] [ Whimpers ] Your Highness, the warriors have called for a secret meeting to plan for a circus-- circumventing the oncoming hordes so they can trapeze-- trap them with ease!",A Bug's Life
"Rosie: Whoa, Flik, honey. (chuckles) We are not about to fight grasshoppers, okay?",A Bug's Life
"(Slim and Francis gasp; the grasshoppers advance on the circus bugs; Dim backs into the cannon launching Tuck and Roll out of it; they dance in front of the grasshoppers, singing their usual gibberish, then get into a fight.)",A Bug's Life
"(The other grasshoppers sit back in their seats laughing hysterically and then, Tuck and Roll are still fighting.)",A Bug's Life
